date,close,volume,open,high,low
8/1/17,149.85,4097532,150.24,150.39,148.95
7/31/17,149.6,5251923,148,149.98,147.54
7/28/17,148.08,3421024,147.9,148.27,147.32
7/27/17,147.73,5393567,146.18,147.86,145.89
7/26/17,146.69,2835360,146.86,147.245,145.96
7/25/17,146.97,5001538,145.74,147.4,145.28
7/24/17,144.58,7294263,146.61,146.69,144.25
7/21/17,146.65,9114891,147.03,147.46,146.13
7/20/17,147.03,18242890,152.56,152.57,145.61
7/19/17,153.3,2805581,152.55,154,152.55
7/18/17,152.17,3775897,153.75,153.86,151.98
7/17/17,153.89,4160950,152.9,154.5,152.72
7/14/17,152.88,3567490,153.22,153.67,151.82
7/13/17,153.29,3251358,152.82,154.13,152.6
7/12/17,152.59,4275810,151.46,153.14,151.09
7/11/17,150.6,5639742,151.45,151.81,150.5
7/10/17,151.18,5034213,152.22,152.26,151
7/7/17,152.23,3668746,152.04,152.87,151.9
7/6/17,152.05,3404693,151.77,152.48,151.22
7/5/17,152.69,4432527,154.01,154.295,151.46
7/3/17,154.01,1658535,154.39,154.79,153.71
6/30/17,153.4,3637683,152.51,154,152.27
6/29/17,152.16,2852426,152.77,153,151.52
6/28/17,153.23,5079113,152.75,153.45,152.36
6/27/17,152.24,4566725,151.06,153.25,150.75
6/26/17,151.42,4126987,151.67,151.97,151.13
6/23/17,151.31,11418870,155.16,155.23,150.91
6/22/17,155.48,3347363,156.44,157.07,155.47
6/21/17,156.59,4070968,157.91,158.53,156.43
6/20/17,157.67,4201221,158.73,159.2242,157.6
6/19/17,158.81,5102382,156.91,159.03,156.39
6/16/17,156.64,9104773,156.25,156.69,155.41
6/15/17,156.77,3972080,156.13,157.27,154.92
6/14/17,156.76,5996462,154.5,157.28,153.96
6/13/17,153.99,3749009,152.31,154.04,152.06
6/12/17,152.18,4471076,152.8,153.3,151.73
6/9/17,152.96,4705272,154,154,152.78
6/8/17,153.5,4021411,155.16,155.2335,153.3801
6/7/17,154.96,3158039,154.69,155.3,154.35
6/6/17,154.2,3257777,154.44,154.66,153.65
6/5/17,154.79,2651771,155.53,155.62,154.23
6/2/17,155.35,3481327,154.79,155.86,154.42
6/1/17,155.15,3383273,153.52,155.16,152.74
5/31/17,153.51,7156354,154.36,154.38,153.28
5/30/17,153.88,3499883,154,154.56,153.52
5/26/17,154.9,4284054,156.1,156.42,154.64
5/25/17,156.46,3107260,156.2,156.69,155.35
5/24/17,155,4591646,154.7,155.43,153.29
5/23/17,154.83,4640232,155.91,156.43,154.68
5/22/17,155.96,3800638,156.49,157,155.8
5/19/17,156.3,4765200,156.04,156.74,155.32
5/18/17,155.7,4606463,155.48,156.665,155.24
5/17/17,156.09,5931589,157.08,157.3,155.89
5/16/17,158.26,10116830,160.11,160.86,158.05
5/15/17,157.33,5832878,157.28,157.84,156.66
5/12/17,156.92,2921187,156.39,157.2,155.75
5/11/17,156.2,3924715,157.35,157.7,155.33
5/10/17,158.13,2616863,157.52,158.15,157.3
5/9/17,157.68,3001521,157.04,157.74,156.29
5/8/17,156.89,3184532,155.85,157.16,155.49
5/5/17,155.73,2500236,155.34,155.75,154.09
5/4/17,154.86,3788653,155.46,155.64,154.26
5/3/17,155,2445354,155.16,155.39,154.59
5/2/17,154.95,3178579,154.49,155.16,153.76
5/1/17,154.21,3151165,156.22,156.27,154.21
4/28/17,156.1,4982778,156.01,156.25,154.102
4/27/17,156.12,5881207,154.69,156.27,153.89
4/26/17,154.22,5114867,153.11,154.8076,152.4
4/25/17,153.03,5495937,152.79,154.65,152.79
4/24/17,151.89,5076437,151.08,152.0601,150.85
4/21/17,150,5019344,148.49,150.146,148.4
4/20/17,148.72,3700070,147.66,149.05,147.44
4/19/17,147.22,3460973,147.93,148.4,147.02
4/18/17,147.76,2969308,147.06,148.18,146.77
